Product Name,Unit Price,Availability,Description Summary,Reference URL
A Light in the Attic,£51.77,In stock,It's hard to imagine a world without A Light in the Attic. This now-classic collection of poetr...,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,£53.74,In stock,"""Erotic and absorbing...Written with starling power.""--""The New York Times Book Review "" Nan Ki...",https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Soumission,£50.10,In stock,"Dans une France assez proche de la nôtre, un homme s’engage dans la carrière universitaire. Peu...",https://books.toscrape.com/catalogue/soumission_998/index.html
Sharp Objects,£47.82,In stock,"WICKED above her hipbone, GIRL across her heart Words are like a road map to reporter Camille P...",https://books.toscrape.com/catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,£54.23,In stock,From a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution...,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,£22.65,In stock,Patient Twenty-nine.A monster roams the halls of Soothing Hills Asylum. Three girls dead. 29 is...,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,£33.34,In stock,"Drawing on his extensive experience evaluating applicants for his marketing agency, and featuri...",https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In stock,"""If you have a heart, if you have a soul, Karen Hicks' The Coming Woman will make you fall in l...",https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In stock,"For readers of Laura Hillenbrand's Seabiscuit and Unbroken, the dramatic story of the American ...",https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,£52.15,In stock,"Praise for Aracelis Girmay:""[Girmay's] every loss—she calls them estrangements—is a yearning fo...",https://books.toscrape.com/catalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In stock,"Since her assault, Miss Annette Chetwynd has been plagued by nightmares and worries about an ar...",https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,£20.66,In stock,This book is an important and complete collection of the Sonnets of William Shakespeare. Most r...,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Set Me Free,£17.46,In stock,"Aaron Ledbetter’s future had been planned out for him since before he was born. Each year, the ...",https://books.toscrape.com/catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In stock,"Scott Pilgrim's life is totally sweet. He's 23 years old, he's in a rockband, he's ""between job...",https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,£35.02,In stock,"Punk's raw power rejuvenated rock, but by the summer of 1977 the movement had become a parody o...",https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In stock,This is the never-before-told story of the musical revolution that happened right under the nos...,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,£23.88,In stock,"Part fact, part fiction, Tyehimba Jess's much anticipated second book weaves sonnet, song, and ...",https://books.toscrape.com/catalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock,"Andrew Barger, award-winning author and engineer, has extensively researched forgotten journals...",https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,£51.33,In stock,Libertarianism isn't about winning elections; it is first and foremost a political philosophy--...,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,£45.17,In stock,"“Wherever you go, whatever you do, just . . . don’t do anything stupid.” —My MotherDuring her y...",https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
In Her Wake,£12.84,In stock,A perfect life … until she discovered it wasn’t her own.A tragic family event reveals devastati...,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
How Music Works,£37.32,In stock,How Music Works is David Byrne’s remarkable and buoyant celebration of a subject he has spent a...,https://books.toscrape.com/catalogue/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,In stock,Canning perfected the America’s Test Kitchen way. The art of preserving produce by canning and ...,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),£25.27,In stock,"A Michelin two-star chef at twenty-eight, Violette Lenoir could handle anything, including a co...",https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,£34.53,In stock,"No matter how busy he keeps himself, successful Broadway musician Tobias Spence can’t outrun th...",https://books.toscrape.com/catalogue/black-dust_976/index.html
Birdsong: A Story in Pictures,£54.64,In stock,"Bring the thrilling story of one red bird to life. When an innocent bird meets two cruel kids, ...",https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,In stock,"Any fan of the Baltimore Colts of my era, any fan of my friend and teammate Johnny Unitas, or, ...",https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,£53.13,In stock,"Planning on seeing Aladdin the Disney musical? Read the classic story of ""Aladdin and his Wonde...",https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,In stock,"Anti-apartheid activist, Bollywood screenwriter, Nazi pin-up, hero of the Wild West: this is Sh...",https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,£44.18,In stock,"Banksy, Britain's now-legendary ""guerilla"" street artist, has painted the walls, streets, and b...",https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,In stock,"In The Four Agreements, don Miguel Ruiz reveals the source of self-limiting beliefs that rob us...",https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,In stock,"Are you and your spouse speaking the same language? While love is a many splendored thing, it i...",https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,£23.82,In stock,Mark Fallon is an overworked detective investigating a spate of attacks at a string of high pro...,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
The Bear and the Piano,£36.89,In stock,"One day, a young bear stumbles upon something he has never seen before in the forest. As time p...",https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Sophie's World,£15.94,In stock,A page-turning novel that is also an exploration of the great philosophical concepts of Western...,https://books.toscrape.com/catalogue/sophies-world_966/index.html
Penny Maybe,£33.29,In stock,"Sent to yet another foster family, Penny decides that the way to claim a sense of self is to sw...",https://books.toscrape.com/catalogue/penny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,£18.02,In stock,"This new edition of Maude (1883-1993) has been updated by Mardo Williams’ daughters, adding his...",https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood",£19.63,In stock,"In a dark, dark wood Nora hasn't seen Clare for ten years. Not since Nora walked out of school ...",https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Behind Closed Doors,£52.22,In stock,The 2016 debut bloggers can't stop raving about. Perfect for fans of The Girl on the Train and ...,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
You can't bury them all: Poems,£33.63,In stock,"A poetry that is at once harrowing, angry, and achingly beautiful Patrick Woodcock has spent th...",https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,£57.31,In stock,The eagerly anticipated debut from one of Canada’s most exciting new poets In her debut collect...,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
